Año,Álbum,Artista(s),Ventas (millones),Ref(s)
2001,Hybrid Theory,Linkin Park,9.0,[190]​
2002,The Eminem Show,Eminem,13.9,[191]​
2003,Come Away with Me,Norah Jones,11.0,[192]​
2004,Confessions,Usher,12.0,[193]​
2005,X&Y,Coldplay,8.3,[194]​
2006,High School Musical,Artistas varios,7.0,[195]​
2007,High School Musical 2,Artistas varios,6.0,[196]​
2008,Viva la Vida or Death and All His Friends,Coldplay,6.8,[197]​
2009,I Dreamed a Dream,Susan Boyle,8.3,[198]​
2010,Recovery,Eminem,5.7,[199]​
2011,21,Adele,18.1,[191]​
2012,21,Adele,8.3,[200]​
2013,Midnight Memories,One Direction,4.0,[201]​
2014,Frozen,Artistas varios,10.0,[202]​
2015,25,Adele,17.4,[203]​
2016,Lemonade,Beyoncé,2.5,[204]​
2017,÷,Ed Sheeran,6.1,[205]​
2018,The Greatest Showman,Hugh Jackman & artitas varios,3.5,[206]​
2019,5x20 All the Best!! 1999–2019,Arashi,3.3,[207]​
2020,Map of the Soul: 7,BTS,4.8,[208]​
2021,30,Adele,4.68,[209]​
2022,Un verano sin ti,Bad Bunny,,[210]​
