,0
0,0
1,0
2,1
3,0
4,0
5,2
6,1
7,0
8,0
9,0
10,2
11,1
12,1
13,0
14,0
15,1
16,1
17,2
18,1
19,2
20,1
21,2
22,1
23,0
24,2
25,1
26,0
27,0
28,0
29,1
30,2
31,0
32,0
33,0
34,1
35,0
36,1
37,2
38,0
39,1
40,2
41,0
42,2
43,2
44,1
45,1
46,2
47,1
48,0
49,1
50,2
51,0
52,0
53,1
54,1
55,0
56,2
57,0
58,0
59,1
60,1
61,2
62,2
63,2
64,2
65,1
66,0
67,0
68,2
69,2
70,0
71,0
72,0
73,2
74,2
75,0
76,2
77,2
78,0
79,1
80,1
81,2
82,1
83,2
84,0
85,2
86,1
87,2
88,1
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,2
97,2
98,0
99,1
100,2
101,2
102,0
103,2
104,0
105,1
106,2
107,2
108,1
109,2
110,1
111,1
112,2
113,2
114,0
115,1
116,2
117,0
118,1
119,2
